Segment ID,day,Direction,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
193538,Weekend,NB,1.0,204.25,133.5,100.5,75.5,74.5,76.0,108.0,155.75,261.0,329.5,347.0,379.0,384.0,384.25,412.5,389.25,363.0,332.25,345.5,349.5,289.25,235.25,205.25,184.25,6118.75
193538,Weekend,SB,1.0,464.75,308.25,234.25,188.75,135.25,122.0,148.5,245.75,450.75,621.75,757.75,774.0,851.75,839.25,815.25,847.25,811.75,792.75,779.75,755.25,746.75,699.25,583.25,459.5,13433.5
193991,Weekday,WB,4.0,2053.4,1356.8,1219.4,1668.2,3229.2,6301.2,6694.6,6848.4,6286.4,5748.2,5223.8,5258.4,5180.0,5283.0,5410.6,5274.0,5282.6,5142.2,5012.6,5046.6,4997.2,4517.4,3842.2,3168.4,110044.8
193991,Weekend,WB,4.0,2866.5,1880.5,1335.25,1340.5,1793.25,3041.5,4629.25,4931.25,5282.5,5474.5,4850.5,5298.0,5195.75,5295.0,5402.25,5323.5,5129.75,4921.5,5051.75,4942.5,4832.25,4618.25,4214.0,3463.0,101113.0
193992,Weekday,EB,4.0,3793.4,2456.8,1766.6,1493.4,2023.0,3140.4,4073.8,4136.0,3796.6,4094.0,4417.4,4804.4,4978.4,5419.6,5262.6,4690.2,4876.8,4948.6,4937.8,4989.2,5358.2,5187.4,4857.0,4574.6,100076.2
193992,Weekend,EB,4.0,4539.0,3723.5,3064.25,2515.25,2497.25,2370.0,2648.25,3304.5,4102.5,4288.5,4559.0,4623.5,4753.5,5001.0,5224.75,5397.5,5570.25,5282.5,5405.0,5389.5,5175.0,5061.75,4764.75,4591.25,103852.25
194069,Weekday,EB,4.0,150.2,87.2,54.0,42.6,57.4,99.4,255.6,539.2,618.0,450.6,472.6,503.6,545.0,590.8,716.8,834.8,871.6,865.6,841.0,721.0,573.0,394.8,292.6,218.4,10795.8
194069,Weekend,EB,4.0,234.25,172.0,133.5,94.0,90.0,83.25,110.75,175.5,278.5,376.75,510.75,615.75,686.0,775.5,786.5,768.0,746.75,727.25,647.25,618.75,494.0,372.0,325.0,261.25,10083.25
194070,Weekday,WB,4.0,49.0,30.8,18.6,12.8,16.2,60.6,163.0,276.2,269.4,218.2,220.0,243.8,227.4,209.4,211.2,236.0,243.6,267.4,256.6,223.6,162.6,114.2,67.6,47.0,3845.2
194070,Weekend,WB,4.0,73.0,60.5,42.5,34.25,33.25,21.5,40.5,59.5,95.25,125.0,181.75,193.5,220.5,237.75,277.0,345.75,341.5,351.0,327.0,298.75,229.75,129.0,93.5,80.75,3892.75
