,Segment ID,day,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
71,10196,Weekend,5.0,103.66666666666667,64.55555555555556,56.333333333333336,52.888888888888886,51.333333333333336,57.666666666666664,104.55555555555556,145.0,204.22222222222223,254.77777777777777,293.1111111111111,434.55555555555554,454.125,474.0,439.25,456.875,422.5,406.25,361.75,305.875,261.625,222.375,186.375,144.875,5940.875
72,10335,Weekday,5.0,54.1,32.8,22.3,35.4,126.3,399.7,528.9,623.9,438.0,402.8,411.7,429.2,444.0,536.2,543.3,576.3,617.9,584.8,512.5,408.2,306.1,227.3,155.4,100.8,8517.9
73,10335,Weekend,5.0,97.75,64.375,38.5,31.25,37.5,62.125,100.125,173.125,242.125,285.0,327.625,366.75,364.375,510.125,472.5,471.0,450.625,454.25,412.625,343.625,268.0,211.875,177.625,135.875,6098.75
74,11273,Weekday,5.0,55.8,32.9,20.15,21.15,31.85,82.0,237.4,582.9,540.1,390.7,363.2,406.65,452.2,442.25,539.85,588.65,549.3,572.95,510.25,392.4,290.8,218.35,149.1,106.4,7577.3
75,11273,Weekend,5.0,104.3,57.5,40.1,34.5,33.7,47.7,99.4,193.0,318.1,425.9,472.6,498.6,597.375,595.5,571.75,542.25,503.625,454.875,421.0,365.625,285.875,204.625,180.0,145.75,7341.125
76,11362,Weekday,5.0,96.2,54.7,32.9,22.5,42.4,97.0,281.7,607.3,622.9,458.7,458.9,477.0,503.5,540.8,643.2,707.9,677.7,674.9,602.1,514.9,384.9,311.5,244.3,187.9,9245.8
77,11362,Weekend,5.0,179.5,112.5,84.5,45.5,48.0,59.5,124.0,213.0,312.5,398.0,456.0,512.0,,,,,,,,,,,,,
78,11449,Weekday,5.0,23.5,12.6,4.8,4.0,2.9,25.9,99.2,372.1,311.0,158.7,137.3,155.1,159.3,173.9,283.6,352.3,295.3,274.6,205.1,157.1,113.2,97.7,59.5,44.3,3523.0
79,11449,Weekend,5.0,38.5,26.5,12.0,10.0,4.0,10.0,22.5,48.5,87.0,111.5,135.5,145.5,,,,,,,,,,,,,
80,11599,Weekday,5.0,20.083333333333332,8.333333333333334,5.166666666666667,2.9166666666666665,5.166666666666667,23.916666666666668,130.91666666666666,415.4166666666667,341.0833333333333,175.83333333333334,165.5,168.16666666666666,189.83333333333334,219.0,342.75,368.1666666666667,341.0,326.75,277.4166666666667,187.66666666666666,123.5,84.75,65.25,43.333333333333336,4031.9166666666665
81,11599,Weekend,5.0,37.375,22.75,13.25,11.5,5.125,11.375,32.375,64.875,88.125,118.375,152.375,195.5,225.125,210.0,217.5,183.75,171.5,163.75,152.0,115.25,88.0,70.0,58.125,46.875,2454.875
82,12198,Weekday,5.0,122.8,65.4,49.0,48.0,87.0,286.6,684.6,1158.8,1171.8,814.4,738.6,757.6,744.6,731.0,953.8,893.6,816.4,772.4,659.0,605.4,494.0,380.8,331.0,246.4,13613.0
83,12198,Weekend,5.0,241.0,156.0,105.0,70.0,63.0,142.0,233.0,380.0,503.0,654.0,723.0,795.0,,,,,,,,,,,,,
85,12806,Weekend,5.0,41.5,22.375,14.0,10.375,6.875,13.75,32.375,66.0,94.5,122.5,163.25,208.875,210.25,237.25,224.25,197.0,183.5,170.375,166.25,151.75,125.875,93.25,63.875,41.875,2661.875
84,12806,Weekday,5.0,20.5,9.2,5.8,5.6,8.3,35.1,198.6,614.8,359.2,196.8,165.6,184.4,200.6,246.7,399.5,384.9,375.9,403.4,310.6,202.8,126.0,96.6,67.8,42.2,4660.9
86,12809,Weekday,5.0,16.3,7.4,3.95,3.65,6.4,19.3,103.1,414.8,268.1,138.5,125.45,154.55,147.35,174.05,272.85,307.15,303.65,271.55,189.45,135.9,92.65,70.55,45.95,31.2,3303.8
87,12809,Weekend,5.0,18.9,15.4,8.2,7.4,5.0,8.6,15.0,29.9,54.6,70.3,98.4,122.3,139.625,142.75,137.125,121.25,125.375,119.125,112.875,81.375,58.625,48.0,37.375,29.125,1573.75
88,12829,Weekday,5.0,63.65,38.35,23.4,21.6,37.65,91.7,262.45,471.85,489.75,406.55,390.1,425.45,440.85,448.15,494.1,546.15,537.7,537.5,472.6,369.55,278.1,230.4,181.5,125.4,7384.5
89,12829,Weekend,5.0,110.6,71.3,47.3,36.1,35.5,53.8,103.6,167.2,249.8,324.3,370.5,385.0,467.75,480.875,446.25,411.625,399.5,368.0,331.5,303.25,241.75,199.5,177.75,129.75,5954.625
