,Roadway Name,From,To,day,LBoro,Segment ID,LZip,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
4102,Varick St,Charlton Street,Van Dam Street,Weekday,1,31909,10013,1341.4,996.4,736.2,616.6,664.2,791.6,1266.0,1698.0,1784.4,1769.2,1869.2,1832.4,1904.6,1579.8,1645.4,1502.8,1280.8,1266.2,1146.0,1481.8,1424.4,1558.8,1602.4,1570.8,33329.4
4103,Varick St,Charlton Street,Van Dam Street,Weekend,1,31909,10013,1515.5,1401.0,1183.75,1067.25,932.75,587.75,574.5,729.75,1092.5,1378.5,1876.0,2013.0,1426.25,1606.75,1828.5,1172.5,1012.0,1082.75,892.5,1066.25,1253.75,1361.5,1630.0,2028.0,30713.0
2533,Hudson St,Charlton Street,King Street,Weekday,1,31914,10014,413.6,305.0,196.4,168.6,189.2,372.8,597.0,944.6,1035.6,1167.2,1089.8,990.2,907.0,872.0,860.0,756.6,584.0,637.4,825.4,838.4,724.8,746.4,719.0,518.0,16459.0
2534,Hudson St,Charlton Street,King Street,Weekend,1,31914,10014,618.0,535.75,431.0,342.75,249.5,206.0,279.75,379.5,476.0,587.75,704.25,742.75,788.5,631.0,676.5,600.25,565.5,561.25,669.25,713.75,685.75,631.5,579.0,546.25,13201.5
2541,Hudson St,Gansevoort Street,Horatio Street,Weekday,1,32031,10014,382.0,352.5,251.16666666666666,187.33333333333334,155.16666666666666,204.66666666666666,334.6666666666667,525.8333333333334,611.3333333333334,632.8333333333334,628.6666666666666,631.8333333333334,606.3333333333334,612.6666666666666,604.8333333333334,622.3333333333334,641.6666666666666,622.6666666666666,699.3333333333334,700.8333333333334,647.8333333333334,577.3333333333334,560.1666666666666,478.0,12272.0
2542,Hudson St,Gansevoort Street,Horatio Street,Weekend,1,32031,10014,784.25,697.0,631.5,623.5,449.75,252.0,219.5,311.5,396.75,458.0,570.0,683.5,720.0,738.25,717.0,706.75,710.5,701.75,698.75,742.25,713.0,665.25,638.25,606.0,14435.0
2545,Hudson St,Horatio Street,Gansevoort Street,Weekday,1,32031,10014,358.2,253.4,183.8,148.4,161.8,223.4,381.6,517.0,558.8,606.4,613.0,631.6,653.0,580.4,587.0,591.6,598.0,555.8,658.6,631.6,601.0,543.0,512.8,480.6,11630.8
2546,Hudson St,Horatio Street,Gansevoort Street,Weekend,1,32031,10014,615.0,559.25,496.5,429.25,323.0,203.0,207.5,275.25,348.5,389.25,460.5,501.75,536.25,559.25,567.25,541.75,552.25,515.75,539.5,673.5,611.75,584.25,575.0,537.5,11602.75
2543,Hudson St,Gansevoort Street,W 13 Street,Weekday,1,32033,10014,291.0,197.6,149.9,129.2,122.6,187.4,293.1,376.6,491.4,478.6,482.6,482.8,482.0,450.7,458.9,469.9,441.6,469.8,511.4,499.7,489.7,447.0,432.3,436.5,9272.3
2544,Hudson St,Gansevoort Street,W 13 Street,Weekend,1,32033,10014,509.5,433.125,367.875,317.875,216.125,150.5,184.75,222.0,308.5,398.0,485.5,534.125,546.75,578.375,562.75,577.5,546.375,560.5,555.75,565.375,551.75,520.25,514.625,462.25,10670.125
1663,Cortlandt Alley,Walker Street,White Street,Weekday,1,32066,10013,3.2,3.8,2.0,1.2,0.2,4.8,3.0,7.2,6.4,11.6,9.0,12.6,7.0,7.4,9.2,8.0,5.8,9.8,8.8,8.4,5.0,3.2,2.6,3.0,143.2
